функция,x,ГЛ,точная,абс. ошибка,отн. ошибка
x^2,0.5,0.990000000000002,1.0,0.00999999999999801,0.00999999999999801
x^2,1.4,2.7900000000000036,2.8,0.009999999999996234,0.003571428571427227
x^2,2.3,4.589999999999872,4.6,0.010000000000127685,0.0021739130435060186
x^2,3.2,6.390000000000029,6.4,0.009999999999971365,0.0015624999999955258
x^2,4.1,8.190000000000097,8.2,0.009999999999902087,0.0012195121951100107
x^2,5.0,9.98999999999981,10.0,0.010000000000189857,0.0010000000000189857
e^x,0.5,1.6405050744749294,1.6487212707001282,0.008216196225198757,0.004983374916798251
e^x,1.4,4.0349913850473484,4.0551999668446745,0.020208581797326097,0.004983374916786229
e^x,2.3,9.924477364153539,9.974182454814718,0.04970509066117934,0.0049833749168269725
e^x,3.2,24.410275401478643,24.532530197109352,0.12225479563070962,0.004983374916832459
e^x,4.1,60.039589321675635,60.34028759736195,0.30069827568631524,0.004983374916818621
e^x,5.0,147.6735606881789,148.4131591025766,0.7395984143977046,0.004983374916819383
sin x,0.5,0.8799650433044981,0.8775825618903728,0.002382481414125337,0.002382481414125337
sin x,1.4,0.17489151771835632,0.16996714290024104,0.004924374818115279,0.004924374818115279
sin x,2.3,-0.6625364217450525,-0.666276021279824,0.0037395995347715427,0.0037395995347715427
sin x,3.2,-0.9985700059165492,-0.9982947757947531,0.0002752301217960884,0.0002752301217960884
sin x,4.1,-0.5789057176425971,-0.5748239465332692,0.004081771109327947,0.004081771109327947
sin x,5.0,0.27886287636549323,0.28366218546322625,0.004799309097733018,0.004799309097733018
cos x,0.5,-0.4750296719748692,-0.479425538604203,0.004395866629333778,0.004395866629333778
cos x,1.4,-0.9845834772758549,-0.9854497299884601,0.0008662527126052089,0.0008662527126052089
cos x,2.3,-0.749024136163623,-0.7457052121767203,0.0033189239869027,0.0033189239869027
cos x,3.2,0.05338173824654957,0.058374143427580086,0.004992405181030515,0.004992405181030515
cos x,4.1,0.8153893773989895,0.8182771110644103,0.002887733665420722,0.002887733665420722
cos x,5.0,0.9603265917798809,0.9589242746631385,0.0014023171167424353,0.0014023171167424353
