h,ГЛ,ошибка
0.1,0.5814407518041309,0.04113844593599114
0.01,0.544500620737598,0.004198314869458208
0.001,0.5407229512750522,0.00042064540691244545
0.0001,0.5403443785167994,4.207264865963012e-05
1e-05,0.540306513208133,4.207339993289594e-06
1e-06,0.540302726670383,4.208022432727887e-07
1e-07,0.5403023473071755,4.143903575837271e-08
1e-08,0.5403023140004848,8.132345019618015e-09
1e-09,0.5403022473871033,5.848103645789138e-08
1e-10,0.5403022473871033,5.848103645789138e-08
1e-11,0.5403011371640787,1.168704061083048e-06
